,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0,0.641938915,0.532884218,0.622075505,0.788737442,0.70683304,0.417324973,0.828438021,0.291826601,0.4937177,0.385685732,0.664560547,0.441090269,0.591324037,0.684891685,0.335207509,0.393419545,0.481800153,0.566119693,0.619205119,0.484227288,0.279147503,0.433909129,0.545912857,0.525768276,0.647363548,0.76542142,electronic
1,0.377145713,0.233395524,0.148276613,0.337599657,0.181853104,0.091120527,0.43839999,0.52849266,0.551439027,0.658590056,0.928747813,0.694458433,0.867688232,0.558579466,0.56053829,0.131166316,0.569330719,0.300260835,0.589769367,0.234080524,0.16185531,0.162656355,0.244754301,0.417504945,0.619661898,0.202362154,alternative
3,0.559279463,0.080691113,0.395273873,0.569088304,0.43414599,0.327478737,0.596703205,0.501438648,0.369372117,0.487637825,0.464379349,0.621976443,0.395412197,0.795517293,0.216172858,0.735969746,0.436518523,0.464317964,0.308396526,0.555823036,0.039520454,0.44463532,0.293213425,0.593411595,0.384105034,0.623292296,electronic
4,0.465417859,0.48368775,0.481646047,0.753847748,0.595917051,0.286282686,0.799846636,0.348335169,0.550832035,0.465678381,0.730790609,0.550211627,0.639633832,0.640700147,0.604634349,0.49567027,0.66853455,0.623908019,0.734202792,0.419074372,0.231715294,0.371213529,0.462291148,0.317557513,0.239158499,0.229338797,folk
5,0.573634086,0.350909338,0.459761894,0.660312786,0.506513373,0.292070454,0.597630848,0.417006263,0.694926682,0.501816412,0.838909704,0.563516955,0.501124972,0.595620996,0.441363598,0.328821884,0.440426032,0.329433643,0.651596919,0.445188112,0.384441343,0.465925777,0.37568758,0.384159364,0.506352455,0.404309054,hiphop
6,0.456434039,0.348189247,0.413229937,0.634591313,0.485789939,0.211643253,0.6061948,0.420366713,0.691835084,0.671801977,0.737256489,0.386502111,0.610649319,0.566728671,0.765160888,0.441684065,0.670868074,0.497069807,0.549847029,0.374570127,0.244860225,0.360484611,0.512162128,0.461573832,0.622884818,0.656922296,hiphop
8,0.50183092,0.531385482,0.531944597,0.806581083,0.665605685,0.289864955,0.81613261,0.357403254,0.627434533,0.45578982,0.728748876,0.51197461,0.564277215,0.690979779,0.603647573,0.549713871,0.687341412,0.570623224,0.649908934,0.445511486,0.451370131,0.493137546,0.446650943,0.49751103,0.433837877,0.476449276,alternative
9,0.652126031,0.616364647,0.722857264,0.875975591,0.844395892,0.567196431,0.929757418,0.219627624,0.511405586,0.441162031,0.752366113,0.526573685,0.65988877,0.632068342,0.611600424,0.615983548,0.528754592,0.558108058,0.631016311,0.382993695,0.269184309,0.577556884,0.422747311,0.486523501,0.546569892,0.604509243,rock
10,0.580689827,0.527038505,0.502140905,0.695623387,0.546125246,0.358052745,0.855798296,0.346176156,0.430008341,0.542473357,0.775274909,0.389528293,0.603383479,0.693433485,0.639232356,0.532262761,0.699755823,0.580851712,0.583975829,0.512075076,0.388068372,0.370424116,0.464043491,0.425591265,0.383740508,0.401154119,alternative
11,0.520735511,0.556570656,0.603952357,0.82093678,0.707117721,0.419325519,0.845229089,0.259510042,0.591360953,0.585188315,0.703117282,0.510728649,0.767701537,0.635305861,0.463877873,0.602725008,0.685100173,0.598867098,0.65554815,0.537125608,0.444107626,0.394452245,0.467832072,0.513318068,0.378149409,0.558707299,folk
